date	negative	neutral	positive
20100811	0	4	0
20100812	0	2	0
20100816	0	4	0
20100817	0	2	0
20100818	0	2	0
20100819	0	2	0
20100824	0	0	2
20100825	0	2	0
20100826	0	2	0
20100827	0	0	2
20100828	0	2	0
20100831	0	2	0
20100902	0	8	2
20100906	0	6	0
20100907	0	4	0
20100908	0	2	0
20100909	0	2	2
20100917	0	2	0
20100923	0	2	0
20100924	2	0	0
20100925	0	2	0
20100929	0	4	0
20101006	0	2	0
20101007	0	4	0
20101011	0	2	2
20101012	0	2	0
20101013	0	2	0
20101014	0	2	0
20101016	0	0	2
20101018	0	0	2
20101021	2	10	0
20101026	0	6	0
20101027	2	4	0
20101028	0	4	0
20101029	0	4	0
20101101	0	2	0
20101102	0	4	0
20101103	0	4	0
20101104	0	4	0
20101105	0	4	0
20101106	2	4	0
20101107	2	0	0
20101108	0	2	0
20101109	0	2	0
20101110	0	4	0
20101111	0	2	0
20101115	0	2	0
20101116	2	2	0
20101117	0	2	0
20101118	0	2	0
20101119	0	2	0
20101122	0	4	0
20101123	2	4	0
20101124	0	2	0
20101125	0	2	0
20101127	0	2	0
20101208	0	2	0
20101209	0	2	0
20101210	0	2	2
20101213	0	2	0
20101214	0	2	0
20101216	0	2	0
20101217	0	4	0
20101218	0	2	0
20101221	2	0	2
20101222	0	4	0
20101224	0	2	0
20101225	0	2	0
20101227	0	2	0
20101228	0	2	2
20101229	0	2	2
20101230	0	2	0
20101231	0	0	2
20110101	0	4	0
20110102	0	0	2
20110103	0	2	0
20110104	0	2	2
20110105	0	4	0
20110106	0	12	0
20110107	0	2	0
20110108	0	4	0
20110109	2	0	0
20110110	0	4	0
20110111	0	2	0
20110112	0	4	0
20110113	0	8	0
20110114	0	2	0
20110115	2	6	0
20110116	0	2	0
20110118	0	2	0
20110121	2	0	0
20110124	0	4	0
20110125	0	4	0
20110126	2	2	0
20110128	2	0	0
20110130	0	2	0
20110201	0	0	2
20110203	0	2	2
20110210	0	4	0
20110217	0	2	0
20110218	0	4	0
20110219	0	4	0
20110222	0	4	0
20110224	0	8	0
20110227	0	4	0
20110228	0	8	0
20110301	0	6	0
20110302	0	4	2
20110303	34	68	28
20110306	0	2	0
20110307	0	4	0
20110308	0	2	2
20110309	0	2	0
20110310	0	6	4
20110311	0	4	0
20110312	0	6	0
20110313	2	4	0
20110314	2	4	0
20110316	0	4	0
20110319	0	2	0
20110322	0	6	0
20110323	0	6	0
20110328	0	4	0
20110329	0	2	2
20110330	0	2	0
20110401	6	14	6
20110402	2	4	0
20110403	2	0	0
20110406	0	4	0
20110407	0	4	0
20110409	0	2	0
20110411	0	0	2
20110413	0	6	2
20110415	0	2	0
20110424	0	4	0
20110426	0	4	0
20110427	0	2	2
20110502	0	2	0
20110503	0	2	0
20110505	2	0	0
20110513	0	6	0
20110520	2	2	0
20110524	0	2	0
20110601	0	4	0
20110606	0	8	2
20110607	28	42	18
20110616	0	2	0
20110704	0	0	2
20110707	0	2	0
20110719	6	8	2
20110720	0	8	2
20110721	2	0	2
20110723	2	4	0
20110726	0	4	2
20110801	0	2	0
20110805	0	2	0
20110809	0	2	0
20110810	0	2	0
20110813	0	2	0
20110815	2	0	0
20110816	0	2	0
20110817	0	2	0
20110818	2	6	2
20110821	0	2	2
20110822	2	0	0
20110825	2	0	0
20110830	0	4	0
20110902	0	2	0
20110903	0	6	0
20110904	0	0	2
20110906	0	0	2
20110907	0	8	0
20110909	4	4	0
20110911	0	0	4
20110912	0	2	4
20110913	0	2	0
20110914	0	2	4
20110915	0	2	0
20110917	0	2	0
20110920	0	0	2
20110927	0	2	0
20110929	0	2	0
20110930	0	2	0
20111003	0	2	2
20111005	24	60	38
20111006	2	4	0
20111007	2	4	0
20111009	0	2	0
20111012	0	6	0
20111013	0	4	0
20111015	0	4	0
20111020	0	2	0
20111024	2	2	0
20111028	0	2	0
20111031	0	2	0
20111114	0	0	2
20111218	0	2	0
20111225	2	0	0
20120101	0	0	2
20120105	0	2	0
20120109	0	2	0
20120122	0	0	2
20120202	0	2	0
20120227	0	4	0
20120304	0	2	0
20120307	0	2	0
20120308	20	62	12
20120309	0	6	0
20120310	0	2	0
20120403	0	2	0
20120404	0	2	0
20120409	0	0	4
20120411	0	2	2
20120423	0	4	0
20120426	0	2	0
20120505	0	0	2
20120508	0	4	0
20120509	0	2	0
20120510	0	6	0
20120513	0	4	0
20120514	0	2	0
20120515	2	0	2
20120517	0	2	0
20120522	0	2	0
20120523	0	2	0
20120525	0	2	0
20120530	0	2	0
20120601	0	2	0
20120606	2	2	0
20120611	2	4	2
20120612	34	94	32
20120613	0	2	0
20120622	0	2	0
20120627	0	4	0
20120704	0	0	2
20120706	0	0	2
20120711	0	2	0
20120723	0	0	2
20120725	0	2	2
20120726	0	2	0
20120727	0	6	0
20120730	0	2	0
20120731	0	2	0
20120801	0	2	0
20120802	2	0	0
20120806	0	0	2
20120816	0	0	2
20120817	0	2	0
20120821	0	2	0
20120822	0	0	2
20120824	0	12	2
20120826	0	0	2
20120827	0	2	0
20120830	0	2	0
20120901	0	2	2
20120904	0	4	0
20120905	0	4	2
20120907	0	2	0
20120911	0	2	0
20120912	0	2	0
20120913	42	104	18
20120919	2	0	0
20120920	0	4	0
20120923	0	2	2
20120924	0	0	2
20120925	0	2	0
20120926	0	2	0
20121003	0	2	0
20121005	0	0	2
20121010	0	2	0
20121017	0	2	0
20121024	0	4	0
20121102	0	2	0
20121130	0	2	0
20130112	0	2	0
20130114	0	4	0
20130121	0	0	2
20130123	0	2	0
20130125	0	2	0
20130128	0	2	0
20130205	2	2	2
20130206	0	2	2
20130207	0	2	0
20130208	0	2	0
20130225	0	2	0
20130303	0	0	2
20130311	0	2	0
20130316	0	2	0
20130317	0	2	0
