date	negative	neutral	positive
20100103	1	1	0
20100104	0	0	2
20100105	0	0	3
20100106	0	1	2
20100107	0	0	1
20100108	1	0	0
20100109	0	1	0
20100110	0	0	1
20100114	0	0	2
20100117	0	0	1
20100119	0	0	1
20100120	1	0	2
20100121	0	1	1
20100128	0	1	0
20100131	0	1	0
20100201	0	0	2
20100206	1	1	4
20100207	0	1	1
20100211	0	0	1
20100213	1	1	0
20100221	0	1	0
20100225	0	1	0
20100227	0	0	3
20100303	1	1	0
20100305	0	1	0
20100403	0	1	1
20100405	3	0	3
20100406	0	0	1
20100407	0	1	0
20100417	0	1	1
20100418	1	1	0
20100424	2	4	0
20100425	0	1	0
20100426	0	2	0
20100429	0	1	1
20100505	1	0	0
20100506	0	1	0
20100509	0	2	1
20100510	0	1	1
20100512	0	0	1
20100514	1	0	1
20100515	1	0	1
20100516	1	0	2
20100518	0	0	1
20100519	0	0	1
20100520	2	0	0
20100521	1	2	0
20100522	0	1	4
20100524	0	1	1
20100525	0	1	0
20100526	0	1	0
20100527	0	0	1
20100528	0	0	1
20100529	0	1	0
20100530	1	1	1
20100601	0	0	1
20100602	0	1	0
20100604	0	0	1
20100605	0	0	1
20100606	1	0	0
20100607	0	0	1
20100608	0	0	1
20100609	0	1	1
20100610	0	0	1
20100611	0	2	1
20100612	0	0	1
20100615	1	1	1
20100616	0	1	1
20100618	0	0	2
20100619	0	0	5
20100621	0	1	0
20100622	0	1	0
20100623	0	0	1
20100625	2	0	1
20100626	1	1	2
20100627	0	0	1
20100628	1	0	0
20100629	1	2	4
20100701	0	1	0
20100702	1	2	2
20100703	0	3	2
20100704	1	0	0
20100705	0	0	1
20100707	1	0	0
20100709	1	1	1
20100710	0	1	0
20100712	0	0	1
20100713	1	2	4
20100714	0	3	1
20100715	0	0	3
20100716	2	0	0
20100719	1	0	1
20100721	2	1	0
20100723	0	1	1
20100724	0	1	0
20100725	0	0	1
20100727	0	0	3
20100728	1	1	0
20100729	2	0	0
20100731	0	1	1
20100803	1	0	0
20100804	0	1	1
20100805	1	5	0
20100806	0	1	1
20100808	1	0	0
20100810	0	0	1
20100811	1	0	0
20100812	1	0	0
20100813	0	3	0
20100815	1	0	1
20100816	0	2	1
20100817	0	2	2
20100818	1	2	1
20100903	1	1	0
20100905	0	2	4
20100906	0	0	3
20100908	0	0	1
20100909	2	0	1
20100912	0	0	2
20100913	1	2	0
20100914	1	1	0
20100915	0	1	1
20100916	0	1	2
20100917	0	0	1
20100918	1	1	2
20100919	0	1	1
20100920	0	0	1
20100921	0	0	2
20100923	0	0	2
20100924	0	1	0
20100925	0	1	3
20100926	1	1	1
20100927	1	1	4
20100928	0	0	1
20100929	0	3	0
20100930	0	0	1
20101001	1	0	0
20101002	0	0	1
20101004	0	1	2
20101005	0	0	2
20101008	0	0	1
20101011	3	1	2
20101012	0	0	2
20101015	0	0	1
20101016	0	1	1
20101017	0	0	2
20101018	0	2	0
20101020	0	1	0
20101021	0	1	0
20101023	0	0	3
20101024	0	1	0
20101029	1	0	1
20101030	0	0	2
20101031	0	0	1
20101102	0	0	1
20101105	0	0	1
20101107	0	3	0
20101109	0	2	0
20101110	0	1	0
20101111	0	2	1
20101113	0	1	0
20101114	0	1	1
20101115	0	0	1
20101121	2	0	0
20101122	0	1	0
20101124	0	1	0
20101130	1	2	2
20101202	2	0	0
20101205	0	1	1
20101209	1	0	0
20101210	0	1	0
20101211	1	0	1
20101212	1	1	0
20101213	0	1	4
20101214	0	1	0
20101218	0	0	1
20101220	0	1	1
20101222	0	1	0
20101223	0	2	0
20101224	0	1	1
20101228	0	0	1
20101230	0	1	0
20110104	1	0	0
20110106	2	3	5
20110107	0	2	1
20110108	0	1	3
20110110	0	0	2
20110111	1	0	0
20110116	0	1	0
20110118	0	1	0
20110122	1	0	1
20110123	1	0	0
20110125	0	0	1
20110208	1	1	0
20110209	0	0	1
20110210	0	4	1
20110211	0	1	1
20110212	0	0	1
20110216	0	1	0
20110217	0	2	0
20110218	0	2	0
20110219	0	2	0
20110225	1	0	1
20110226	0	0	1
20110227	0	6	2
20110302	0	3	3
20110304	0	0	1
20110309	0	1	1
20110311	0	0	1
20110312	1	0	0
