date	negative	neutral	positive
20101126	0	0	1
20101127	0	4	6
20101128	2	9	6
20101129	1	2	8
20101130	2	1	6
20101201	2	2	2
20101202	0	2	1
20101203	0	0	1
20101204	0	0	1
20101205	0	1	0
20101208	0	0	1
20101210	0	2	0
20101212	0	1	0
20101214	0	0	1
20101216	2	0	0
20101217	3	1	0
20101219	0	0	1
20101220	0	2	2
20101221	0	0	1
20101222	0	1	0
20101223	0	2	2
20101224	0	1	1
20101225	0	1	0
20101228	1	0	0
20101229	0	0	1
20101230	0	0	1
20101231	1	1	0
20110101	1	1	2
20110102	0	0	3
20110103	0	3	3
20110104	1	2	0
20110105	0	0	6
20110106	0	0	1
20110107	1	1	3
20110108	1	0	1
20110109	0	1	0
20110110	1	2	3
20110111	0	0	2
20110112	0	3	2
20110113	1	3	2
20110114	1	3	2
20110115	1	2	5
20110116	1	3	2
20110117	0	2	3
20110118	0	3	4
20110119	1	6	2
20110120	1	2	3
20110121	0	2	9
20110122	2	2	3
20110123	3	1	4
20110124	0	1	3
20110125	2	0	3
20110126	0	2	2
20110127	0	0	1
20110128	0	0	2
20110129	0	1	3
20110130	2	0	3
20110131	0	2	4
20110201	1	2	1
20110202	1	1	4
20110203	1	2	2
20110204	1	0	2
20110205	4	8	8
20110206	0	1	5
20110207	0	6	1
20110208	0	1	5
20110209	1	1	3
20110210	2	1	3
20110211	0	1	3
20110212	0	1	5
20110213	1	1	4
20110214	3	2	1
20110215	2	3	3
20110216	1	4	4
20110217	0	3	2
20110218	0	2	1
20110219	1	1	0
20110220	0	2	1
20110221	0	0	7
20110222	0	2	1
20110223	0	2	4
20110224	0	3	3
20110225	1	2	4
20110226	0	3	3
20110227	1	1	3
20110228	3	2	2
20110301	3	1	3
20110302	2	2	5
20110303	1	3	3
20110304	0	6	7
20110305	1	2	2
20110306	2	5	5
20110307	0	4	7
20110308	0	2	4
20110309	1	2	4
20110310	3	5	6
20110311	0	3	3
20110312	1	1	2
20110313	2	1	4
20110314	1	3	7
20110315	1	3	6
20110316	2	3	1
20110317	0	2	3
20110318	2	1	3
20110319	1	2	1
20110320	0	0	6
20110321	1	4	4
20110322	1	2	6
20110323	2	3	7
20110324	0	2	8
20110325	4	3	5
20110326	0	1	5
20110327	0	2	2
20110328	1	4	6
20110329	2	2	7
20110330	0	5	4
20110331	1	6	4
20110401	1	3	3
20110402	0	2	2
20110403	2	2	1
20110404	0	1	4
20110405	1	1	5
20110406	3	1	2
20110407	1	3	6
20110408	2	1	2
20110409	1	2	2
20110410	0	1	6
20110411	0	3	3
20110412	1	4	2
20110413	0	3	5
20110414	0	1	1
20110415	0	0	1
20110416	0	4	0
20110417	0	1	1
20110418	1	0	2
20110419	0	3	4
20110421	0	1	3
20110422	0	1	5
20110423	0	0	1
20110424	1	1	4
20110506	0	0	1
20110507	0	0	2
20110508	0	0	2
20110509	0	1	0
20110514	0	0	2
20110515	0	0	2
20110516	0	0	1
20110517	0	0	1
20110518	0	0	3
20110519	0	0	1
20110520	0	1	1
20110521	0	0	1
20110522	0	2	2
20110524	0	1	2
20110525	0	0	1
20110526	0	0	2
20110527	0	0	1
20110529	0	0	1
20110530	1	1	0
20110531	1	1	1
20110601	1	1	2
20110602	2	1	3
20110603	1	1	1
20110604	0	1	2
20110605	0	0	2
20110606	0	0	2
20110607	3	2	1
20110608	0	1	2
20110609	0	0	2
20110610	0	1	1
20110611	1	1	1
20110612	0	1	1
20110613	0	1	1
20110614	2	1	1
20110615	0	0	1
20110616	0	0	4
20110617	1	0	3
20110619	1	0	0
20110620	0	1	0
20110622	0	0	1
20110623	1	1	1
20110624	0	0	2
20110625	0	0	1
20110627	2	1	6
20110628	0	2	2
20110629	1	1	3
20110630	1	3	3
20110701	2	3	4
20110702	0	1	1
20110703	1	1	0
20110704	0	2	0
20110705	1	2	4
20110706	0	3	0
20110708	0	1	2
20110709	0	0	1
20110711	0	0	2
20110712	0	0	2
20110713	0	0	1
20110714	0	1	0
20110715	0	0	1
20110716	0	0	1
20110718	0	0	1
20110719	1	2	1
20110720	1	1	3
20110721	0	1	2
20110723	0	0	1
20110725	0	2	0
20110727	0	2	0
20110728	0	1	0
20110729	1	0	1
20110731	0	1	2
20110801	1	0	1
20110802	0	0	2
20110803	0	0	1
20110804	0	0	1
20110805	0	0	5
20110806	0	0	1
20110807	0	1	1
20110808	0	0	1
20110809	0	1	2
20110810	0	0	1
20110811	1	2	6
20110812	2	2	3
20110813	0	1	2
20110814	0	2	1
20110815	2	2	5
20110816	1	3	1
20110817	0	5	1
20110818	0	1	0
20110819	4	3	3
20110820	0	0	1
20110821	0	0	2
20110822	0	0	2
20110823	1	2	0
20110824	1	1	6
20110825	1	2	3
20110826	1	1	2
20110827	0	1	1
20110828	1	4	3
20110829	0	0	2
20110830	2	1	1
20110831	1	2	3
20110901	1	1	0
20110902	1	2	2
20110903	0	1	6
20110905	2	2	1
20110906	0	0	5
20110907	0	1	2
20110908	1	1	2
20110909	2	1	1
20110910	0	4	2
20110911	0	0	2
20110912	0	1	3
20110913	0	1	0
20110914	1	1	1
20110915	1	1	4
20110916	1	0	2
20110917	0	2	2
20110918	0	1	1
20110919	0	0	2
20110920	1	3	1
20110921	1	0	1
20110922	1	1	1
20110923	1	0	2
20110924	1	0	3
20110925	0	1	2
20110926	0	1	3
20110927	1	3	0
20110928	0	2	5
20110929	1	1	3
20110930	0	3	4
20111001	2	1	1
20111002	0	0	2
20111003	0	0	4
20111004	0	1	4
20111005	0	3	2
20111006	0	0	1
20111007	0	1	1
20111008	0	1	1
20111009	0	1	1
20111010	1	1	1
20111011	0	0	3
20111012	0	0	5
20111013	0	0	2
20111014	2	5	4
20111015	0	0	1
20111016	1	1	1
20111017	0	1	2
20111018	0	1	2
20111019	1	2	2
20111020	0	0	2
20111021	1	1	1
20111022	0	0	1
20111023	1	0	3
20111024	1	2	3
20111025	0	0	2
20111026	1	3	5
20111028	0	1	3
20111029	0	0	2
20111030	0	0	1
20111031	1	1	4
20111101	0	3	2
20111102	0	2	2
20111103	0	1	1
20111104	1	4	3
20111105	0	1	4
20111107	1	1	1
20111108	0	5	3
20111109	0	2	3
20111110	2	0	1
20111111	1	2	2
20111112	0	1	1
20111113	0	0	1
20111114	0	1	1
20111115	1	1	0
20111116	1	3	3
20111118	2	0	3
20111119	1	2	5
20111120	1	0	1
20111121	0	2	2
20111122	2	2	2
20111123	0	3	1
20111124	0	1	1
20111125	0	2	2
20111126	0	0	1
20111127	1	1	1
20111128	0	1	2
20111129	0	1	3
20111130	0	0	2
20111201	0	1	1
20111204	0	1	0
20111205	0	0	1
20111216	0	0	1
20111219	1	1	0
20111221	0	0	1
20111223	0	1	0
20111231	0	0	1
20120102	0	1	1
20120103	1	0	1
20120106	0	1	0
20120108	0	1	1
20120109	0	0	3
20120110	1	0	1
20120111	0	1	2
20120113	0	1	1
20120115	0	1	0
20120117	0	0	2
20120118	0	1	3
20120119	2	1	1
20120121	0	0	1
20120123	1	0	0
20120124	0	0	2
20120127	0	1	3
20120130	0	1	1
20120131	1	0	0
20120201	0	0	2
20120202	0	0	1
20120203	1	1	2
20120204	0	0	2
20120205	0	2	0
20120206	0	1	3
20120207	1	0	0
20120212	0	1	0
20120213	0	2	1
20120214	2	0	2
20120215	0	0	1
20120217	1	2	1
20120218	0	0	1
20120220	1	0	1
20120221	0	2	2
20120222	0	1	1
20120223	1	0	0
20120224	1	1	2
20120225	1	1	1
20120227	1	1	8
20120228	1	3	5
20120229	0	1	0
20120302	0	0	1
20120303	0	2	3
20120304	1	1	4
20120305	0	1	3
20120306	0	3	4
20120307	0	0	1
20120308	1	1	3
20120309	0	0	1
20120310	0	0	1
20120312	0	4	2
20120313	0	0	3
20120314	0	1	1
20120315	0	1	2
20120316	0	2	0
20120317	0	0	1
20120318	1	0	0
20120319	0	1	3
20120320	1	2	3
20120321	0	0	2
20120322	1	0	1
20120323	0	1	2
20120324	0	0	1
20120325	0	0	1
20120326	0	0	1
20120327	0	1	2
20120328	1	1	0
20120329	0	1	1
20120330	0	0	3
20120331	0	1	1
20120401	1	0	0
20120402	0	1	3
20120404	0	2	2
20120405	0	1	1
20120406	0	0	1
20120407	1	0	1
20120409	0	0	1
20120410	0	0	1
20120411	0	2	2
20120413	0	2	1
20120414	0	2	0
20120415	0	0	2
20120416	0	0	1
20120417	0	0	1
20120418	0	0	1
20120419	0	1	1
20120420	0	2	0
20120421	0	0	1
20120422	0	0	1
