date	negative	neutral	positive
20101111	1	1	0
20101112	2	0	1
20101115	1	0	1
20101207	3	1	1
20101210	0	2	0
20101217	0	1	0
20110104	1	1	1
20110105	1	1	0
20110119	1	0	0
20110121	0	1	1
20110124	0	1	1
20110125	0	1	1
20110126	1	1	1
20110127	0	1	0
20110128	1	0	0
20110201	0	1	0
20110202	1	0	0
20110207	1	0	0
20110208	2	0	0
20110215	1	0	0
20110216	0	0	2
20110217	1	0	0
20110223	0	1	0
20110304	1	0	0
20110308	1	1	0
20110309	0	0	1
20110310	0	1	0
20110311	1	0	0
20110314	1	0	0
20110315	1	0	0
20110317	0	1	0
20110319	0	0	2
20110321	0	1	0
20110322	0	1	1
20110323	0	0	1
20110324	1	1	2
20110326	0	0	1
20110329	1	0	0
20110330	0	1	0
20110401	1	0	0
20110405	0	1	0
20110412	0	1	0
20110415	1	0	0
20110418	0	0	1
20110427	0	1	0
20110519	1	0	0
20110524	1	0	0
20110530	0	0	1
20110531	1	0	0
20110603	0	0	2
20110608	1	0	1
20110613	0	0	1
20110615	1	0	0
20110629	0	1	1
20110701	0	1	0
20110705	0	1	0
20110708	1	0	4
20110720	0	0	1
20110729	0	0	1
20110801	0	1	0
20110812	0	2	1
20110815	1	0	1
20110816	0	1	0
20110821	0	1	0
20110908	0	0	1
20110909	0	0	1
20110912	0	1	0
20110919	1	0	0
20110920	1	0	0
20111003	0	0	1
20111005	0	0	1
20111006	0	0	2
20111007	1	0	1
20111010	0	1	0
20111011	0	0	1
20111013	0	0	1
20111014	0	0	1
20111018	0	1	1
20111019	1	0	0
20111020	0	0	1
20111021	0	0	1
20111024	1	0	0
20111026	0	2	0
20111027	1	0	0
20111101	0	1	1
20111102	0	0	1
20111103	0	1	0
20111104	0	1	0
20111107	0	1	1
20111108	0	1	0
20111110	4	1	2
20111111	1	3	3
20111112	2	3	4
20111114	0	2	1
20111115	0	2	1
20111116	0	1	1
20111117	1	4	2
20111118	0	1	0
20111119	1	0	0
20111120	0	2	0
20111122	1	2	1
20111123	3	0	3
20111128	0	0	1
20111129	0	0	1
20111201	0	0	1
20111202	0	0	3
20111205	0	3	0
20111206	1	1	3
20111207	0	1	0
20111208	0	0	2
20111209	1	0	1
20111210	0	4	1
20111212	0	1	0
20111213	0	1	0
20111214	0	0	1
20111215	2	1	3
20111216	0	1	1
20111219	1	6	0
20111220	0	0	3
20111221	0	0	1
20111222	1	3	1
20111223	1	0	1
20111228	1	3	0
20111229	0	1	0
20111230	1	0	0
20120103	1	0	0
20120104	0	1	0
20120107	1	0	0
20120109	0	1	0
20120110	0	1	0
20120111	1	4	0
20120112	1	2	1
20120113	0	1	0
20120115	0	1	0
20120116	1	0	0
