date	negative	neutral	positive
20110328	5	18	7
20110329	4	2	2
20110330	2	1	0
20110331	1	2	3
20110401	1	2	0
20110402	1	0	0
20110410	1	0	0
20110411	0	1	0
20110412	0	1	1
20110413	0	1	0
20110414	2	1	0
20110915	1	3	1
20110916	0	5	0
20111214	3	11	4
20111215	2	5	3
20111216	7	15	7
20111217	1	4	1
20111218	0	2	2
20111219	0	1	0
20111220	0	3	0
20111221	0	0	1
20111222	0	1	0
20111223	0	2	4
20111224	3	5	5
20111225	2	5	1
20111226	1	1	0
20111227	0	3	0
20111228	2	5	2
20111229	0	2	1
20111231	2	5	0
20120101	0	2	0
20120102	0	1	4
20120103	1	0	3
20120105	1	2	1
20120106	2	5	2
20120107	1	1	0
20120113	0	2	1
20120114	0	3	0
20120115	0	1	0
20120116	0	0	1
20120117	0	1	0
20120118	1	1	1
20120121	1	0	0
20120123	0	0	1
20120125	1	1	2
20120127	0	1	0
20120131	3	13	0
20120201	0	1	0
20120203	1	0	0
20120205	0	0	1
20120206	1	0	0
20120207	0	1	0
20120213	0	0	1
